Year,District,Area(ha),Rainfall(mm),Temp(C),Humidity(%),SoilType,pH,N(kg/ha),P(kg/ha),K(kg/ha),FertilizerUsed(kg/ha),IrrigationCount,Yield(tons/ha)
2025,Bhojpur,45,1064,24.4,75.7,Clay,5.9,104,50,31,192,2,18.71
2022,Bhojpur,53,915,28.7,69.6,Sandy,6.5,98,35,37,191,1,17.22
2020,Patna,73,883,32.0,60.8,Clay,7.1,84,47,46,215,1,17.0
2021,Bhojpur,22,714,28.4,63.3,Loamy,6.9,90,41,31,204,2,15.3
2021,Bhojpur,69,856,27.8,68.8,Sandy,6.1,91,39,39,197,2,16.89
2023,Bhojpur,31,835,26.5,74.5,Clay,7.2,89,42,45,171,4,16.13
2024,Muzaffarpur,84,960,25.0,71.9,Loamy,6.7,87,48,35,176,1,17.5
2022,Samastipur,73,856,29.8,73.0,Sandy,5.8,103,47,31,216,1,18.03
2020,Gaya,24,746,25.5,69.6,Loamy,6.2,107,49,31,162,3,17.47
2023,Muzaffarpur,76,1023,24.9,72.3,Sandy,6.2,115,51,42,194,1,20.76
2024,Bhojpur,36,1031,27.4,66.6,Clay,5.9,116,49,44,159,4,19.99
2023,Patna,66,872,30.4,69.4,Loamy,7.1,100,54,31,158,3,18.22
2025,Bhojpur,42,829,30.0,74.9,Sandy,6.5,87,52,36,203,3,16.44
2024,Samastipur,98,794,24.4,77.4,Loamy,7.1,88,52,32,176,3,17.25
2024,Bhojpur,33,814,27.6,68.7,Loamy,6.3,94,36,37,183,2,16.22
2022,Patna,85,942,28.2,60.9,Clay,6.0,119,38,43,150,2,20.15
2024,Samastipur,94,991,29.2,63.2,Loamy,6.5,97,35,36,181,1,17.81
2023,Bhojpur,70,981,29.2,60.4,Sandy,6.0,99,38,36,216,3,17.73
2024,Samastipur,57,998,26.9,73.1,Sandy,6.5,85,52,30,169,4,16.7
2022,Gaya,83,982,28.5,66.6,Sandy,7.1,91,39,46,184,2,17.75
2022,Gaya,57,768,27.8,70.8,Sandy,6.5,81,53,38,166,4,16.12
2025,Bhojpur,69,847,31.1,69.9,Clay,6.7,86,49,42,167,4,16.85
2023,Samastipur,49,710,28.2,61.6,Loamy,6.0,95,42,48,194,2,16.87
2021,Patna,98,953,27.5,68.1,Clay,5.9,82,54,48,202,2,17.65
2021,Bhojpur,70,1029,27.2,64.4,Loamy,6.0,82,51,46,217,2,17.28
2024,Gaya,82,1059,28.6,68.4,Loamy,6.6,106,35,39,214,2,19.05
2025,Gaya,71,737,30.4,64.1,Loamy,5.9,119,46,39,150,3,19.4
2020,Bhojpur,57,833,28.3,76.8,Clay,6.3,117,53,33,207,3,19.45
2024,Samastipur,98,899,29.3,63.5,Loamy,6.6,112,49,37,175,3,19.89
2025,Gaya,49,722,29.9,79.2,Clay,6.3,107,43,49,169,3,17.98
2023,Samastipur,70,1002,28.2,68.3,Sandy,6.0,80,41,49,159,1,16.66
2023,Gaya,24,1045,27.4,76.9,Sandy,6.2,87,36,47,208,3,16.09
2023,Gaya,48,1001,31.0,72.6,Loamy,7.1,116,43,43,190,2,19.8
2023,Muzaffarpur,23,1062,27.3,74.7,Clay,6.7,111,44,47,154,4,19.25
2023,Gaya,29,1095,27.7,75.4,Sandy,6.5,116,36,43,214,3,19.26
2025,Patna,75,917,31.9,70.1,Clay,5.8,83,53,49,166,1,17.65
2025,Bhojpur,36,840,24.0,70.9,Clay,7.2,109,45,44,171,2,18.38
2022,Bhojpur,93,803,25.5,70.3,Loamy,6.7,85,47,33,190,4,16.7
2021,Samastipur,36,909,27.1,71.8,Sandy,6.2,98,44,42,217,4,17.62
2023,Gaya,88,810,31.5,60.6,Loamy,7.0,111,48,37,218,3,19.29
2020,Patna,53,803,24.6,67.9,Loamy,6.2,88,52,47,160,4,17.22
2025,Samastipur,25,1015,24.1,72.1,Sandy,6.6,91,53,41,205,3,16.96
2020,Muzaffarpur,72,870,24.4,72.0,Sandy,6.7,90,43,43,200,3,17.14
2020,Samastipur,85,1055,24.7,75.9,Clay,6.1,95,41,31,170,2,17.69
2020,Samastipur,96,1023,24.3,73.1,Sandy,7.2,80,37,47,175,2,17.08
2022,Gaya,62,832,27.8,79.8,Clay,6.8,100,54,31,168,1,17.98
2025,Muzaffarpur,94,1075,28.6,65.7,Clay,6.6,109,40,40,209,2,19.96
2020,Samastipur,42,992,26.2,67.2,Clay,6.1,92,36,38,196,2,16.52
2023,Patna,74,1027,27.2,67.7,Sandy,5.9,113,40,41,175,3,19.69
2024,Patna,99,826,24.7,69.3,Loamy,6.2,83,37,46,189,2,16.47
2020,Bhojpur,94,805,26.7,76.7,Clay,6.9,107,50,44,154,3,19.43
2022,Muzaffarpur,35,791,28.2,64.7,Loamy,6.2,117,42,46,170,3,19.18
2025,Muzaffarpur,27,986,29.9,75.5,Loamy,6.6,110,36,47,153,2,18.37
2022,Bhojpur,23,1077,24.0,68.1,Sandy,6.8,106,51,35,172,1,18.66
2020,Samastipur,23,1092,27.7,72.0,Loamy,6.0,84,43,46,164,1,16.55
2025,Muzaffarpur,75,750,26.4,72.7,Loamy,6.8,104,46,47,157,4,18.52
2024,Patna,44,728,30.8,67.5,Sandy,5.9,82,37,37,190,4,14.91
2020,Patna,86,995,29.7,70.3,Clay,7.2,112,45,38,168,2,19.72
2022,Gaya,86,996,28.7,68.3,Loamy,6.5,83,35,35,195,1,16.21
2021,Muzaffarpur,46,913,26.2,61.4,Sandy,6.0,104,47,34,177,3,17.79
2023,Samastipur,51,966,31.3,68.7,Loamy,6.3,99,49,41,217,4,18.2
2022,Bhojpur,69,956,24.4,61.9,Loamy,6.4,113,39,40,164,3,19.31
2025,Bhojpur,80,1001,24.9,68.1,Clay,6.9,105,51,30,186,4,19.13
2020,Samastipur,70,800,27.1,71.9,Loamy,6.8,84,40,40,150,2,16.06
2023,Gaya,38,1045,25.0,71.6,Sandy,6.7,114,45,48,216,1,19.64
2020,Bhojpur,40,809,31.7,73.3,Loamy,5.9,107,52,38,173,4,18.39
2025,Muzaffarpur,24,881,30.4,61.9,Clay,6.0,108,38,31,176,1,17.44
2020,Gaya,61,1012,26.1,73.0,Clay,5.9,88,37,41,189,3,16.55
2021,Muzaffarpur,80,700,28.7,66.2,Sandy,6.6,117,47,33,212,2,19.17
2023,Patna,41,1018,31.9,68.0,Clay,7.0,85,43,33,210,1,16.2
2023,Gaya,40,754,31.1,77.2,Loamy,6.4,98,40,47,185,2,16.94
2025,Bhojpur,89,1070,28.8,60.2,Clay,6.0,90,46,44,173,1,18.38
2021,Gaya,20,1098,31.2,71.8,Sandy,6.6,81,36,48,173,3,15.69
2022,Gaya,24,848,31.9,72.0,Clay,6.9,88,37,42,153,3,15.55
2020,Gaya,31,1008,29.9,67.9,Clay,6.8,100,37,48,216,2,17.49
2024,Gaya,65,836,24.5,64.7,Clay,7.0,103,46,46,183,3,18.38
2020,Muzaffarpur,53,901,27.2,64.7,Sandy,6.2,113,49,35,206,4,19.22
2020,Patna,68,1012,30.7,77.7,Clay,6.1,101,43,45,198,1,18.66
2022,Samastipur,97,816,25.8,68.8,Clay,7.0,82,42,41,202,3,16.72
2020,Gaya,64,853,30.6,66.6,Loamy,6.7,91,45,48,172,4,17.54
2021,Bhojpur,46,990,25.0,69.0,Sandy,6.2,107,50,34,218,2,18.72
2021,Gaya,92,762,24.4,73.4,Clay,6.8,109,38,46,202,4,19.15
2023,Bhojpur,45,943,27.1,62.9,Sandy,6.9,105,35,30,211,2,17.33
2025,Muzaffarpur,66,724,24.3,69.0,Clay,6.7,100,41,39,190,2,17.31
2024,Bhojpur,75,789,31.7,71.8,Clay,6.8,107,36,44,206,1,18.48
2020,Samastipur,82,774,30.6,79.0,Clay,6.3,105,39,40,209,1,18.21
2020,Patna,67,993,30.4,65.1,Loamy,6.6,112,41,42,203,4,19.54
2022,Bhojpur,80,1085,29.0,67.2,Loamy,6.5,100,38,34,219,1,18.21
2025,Bhojpur,45,1090,25.7,67.6,Loamy,7.0,114,39,30,206,1,19.02
2021,Patna,55,909,28.1,72.1,Sandy,7.0,113,35,41,159,1,18.95
2024,Samastipur,20,1046,28.8,67.1,Sandy,7.0,97,35,40,189,4,17.02
2023,Gaya,27,716,28.2,70.7,Loamy,5.8,90,49,46,156,3,16.34
2021,Bhojpur,71,827,26.1,75.6,Sandy,6.8,102,54,33,187,1,18.49
2025,Patna,98,1063,28.1,74.1,Clay,6.9,101,53,44,210,1,19.94
2023,Muzaffarpur,66,950,27.9,68.9,Clay,6.7,96,44,38,152,4,17.78
2022,Patna,75,878,32.0,77.3,Clay,6.9,84,52,49,200,3,17.16
2022,Muzaffarpur,33,881,31.2,71.2,Loamy,7.0,90,37,48,196,1,16.29
2020,Samastipur,47,851,27.7,70.8,Sandy,6.5,109,45,48,217,2,18.79
2025,Gaya,97,724,29.0,60.7,Loamy,6.5,94,49,41,187,4,18.08
2024,Patna,21,879,30.0,79.7,Sandy,6.0,106,45,34,185,1,17.48
2023,Bhojpur,45,897,24.3,62.5,Clay,6.3,114,51,39,190,1,19.38
2021,Samastipur,33,1043,31.2,64.6,Loamy,6.7,112,51,46,218,2,19.65
2025,Patna,78,860,30.9,61.0,Sandy,6.9,99,40,34,162,2,17.72
2025,Bhojpur,75,876,27.7,72.8,Sandy,6.1,95,39,45,207,4,17.75
2022,Patna,26,984,27.1,64.5,Clay,6.0,113,42,36,199,4,18.42
2020,Muzaffarpur,22,762,26.2,63.6,Loamy,6.7,81,36,38,179,2,14.41
2020,Patna,42,849,27.8,61.8,Loamy,5.8,114,50,32,211,4,18.98
2023,Patna,37,853,24.4,62.1,Loamy,6.0,119,54,44,174,2,19.89
2022,Patna,57,855,30.8,71.7,Clay,5.8,107,46,45,176,1,18.64
2025,Samastipur,34,1069,24.3,73.8,Loamy,6.0,118,40,47,200,2,19.89
2024,Patna,83,748,26.6,67.9,Clay,6.1,85,35,43,206,2,16.29
2022,Bhojpur,47,1036,31.5,69.6,Clay,6.3,88,38,32,196,3,16.06
2023,Muzaffarpur,93,783,29.9,73.7,Clay,6.4,99,51,41,188,2,18.69
2023,Muzaffarpur,58,1060,26.3,60.3,Sandy,7.0,80,47,38,165,2,16.62
2022,Patna,76,876,26.0,66.5,Loamy,6.5,87,52,36,171,3,17.12
2023,Samastipur,36,847,24.0,79.5,Loamy,6.8,102,39,38,203,4,17.42
2022,Samastipur,63,817,29.6,71.6,Clay,5.9,82,37,42,170,3,15.83
2021,Bhojpur,44,1041,24.4,65.1,Clay,6.1,83,45,47,165,1,16.82
2022,Patna,36,762,28.3,70.4,Loamy,6.8,104,47,34,208,3,17.49
2022,Muzaffarpur,32,888,31.7,66.9,Clay,5.9,117,38,42,180,1,18.66
2023,Samastipur,44,1059,24.9,70.6,Loamy,6.5,94,48,33,191,4,17.29
2023,Patna,87,748,31.2,62.5,Sandy,6.6,100,45,31,181,3,17.71
2020,Samastipur,29,1026,31.9,62.7,Clay,6.6,114,44,45,208,3,19.19
2020,Samastipur,86,956,24.5,62.9,Loamy,5.8,93,53,38,183,4,18.27
2021,Muzaffarpur,37,923,31.1,78.8,Clay,6.3,115,52,38,158,1,19.57
2020,Gaya,53,840,28.1,74.7,Loamy,6.7,91,40,35,160,3,16.49
2022,Bhojpur,27,914,31.3,63.2,Loamy,6.0,96,49,40,159,1,17.25
2023,Bhojpur,59,1078,28.6,63.8,Clay,6.8,118,44,30,166,3,20.04
2020,Muzaffarpur,61,910,29.3,74.6,Sandy,6.8,88,39,33,217,2,16.41
2020,Samastipur,60,1017,28.4,63.1,Loamy,7.2,114,39,42,197,3,19.5
2021,Patna,25,731,30.9,64.7,Loamy,6.1,92,44,42,201,4,15.87
2025,Samastipur,71,857,29.9,79.3,Loamy,7.0,94,39,42,174,4,17.28
2021,Muzaffarpur,45,984,28.2,65.1,Sandy,6.5,97,37,31,170,1,17.01
2022,Bhojpur,83,1004,30.9,73.2,Sandy,6.3,112,40,38,214,3,19.61
2023,Samastipur,78,985,26.0,79.6,Clay,6.0,85,38,37,212,1,16.73
2021,Bhojpur,75,843,25.3,67.5,Sandy,6.8,106,52,36,200,1,18.72
2020,Patna,78,718,25.3,60.4,Clay,6.1,102,43,33,185,2,17.76
2023,Bhojpur,89,717,26.7,64.9,Clay,6.3,106,51,47,215,2,19.37
2023,Bhojpur,52,956,25.9,76.6,Sandy,5.9,113,47,32,164,4,19.19
2020,Gaya,72,777,31.4,77.3,Clay,6.9,117,49,35,188,1,19.8
2021,Gaya,41,1070,24.8,75.4,Sandy,6.9,93,54,41,219,4,18.08
2020,Gaya,40,874,29.6,62.3,Clay,6.8,115,51,41,150,3,19.56
2025,Bhojpur,89,893,25.5,75.9,Sandy,6.2,87,47,37,172,1,17.46
2023,Muzaffarpur,89,812,31.1,78.4,Sandy,6.0,114,50,30,188,1,19.72
2024,Bhojpur,23,813,31.7,72.0,Clay,6.7,98,38,33,206,3,16.26
2024,Muzaffarpur,94,921,27.7,78.8,Loamy,6.5,109,39,40,183,3,19.1
2022,Muzaffarpur,81,865,31.0,76.5,Clay,6.0,93,39,32,190,4,16.98
2020,Gaya,81,1018,24.0,73.3,Sandy,6.8,99,43,42,162,4,18.69
2020,Samastipur,43,831,30.6,71.5,Loamy,7.2,104,51,46,219,3,18.3
2022,Patna,74,1084,25.8,67.0,Clay,6.8,119,47,39,155,4,20.7
2022,Gaya,28,963,31.3,63.2,Clay,6.8,103,36,41,201,3,17.67
2022,Gaya,22,754,24.0,72.1,Clay,7.1,93,47,44,152,1,16.56
2023,Samastipur,50,1058,28.4,66.4,Loamy,6.1,105,53,39,212,1,19.31
2025,Patna,59,830,30.1,77.3,Sandy,6.6,117,37,43,198,2,19.14
2020,Bhojpur,55,987,26.1,79.9,Clay,7.2,102,44,42,196,1,18.15
2023,Bhojpur,43,965,25.5,75.0,Clay,6.0,101,36,34,204,3,17.06
2022,Gaya,25,1065,24.7,61.8,Clay,6.8,98,47,35,213,4,17.4
2020,Patna,85,861,26.6,65.8,Clay,6.6,82,53,31,214,2,16.38
2023,Gaya,94,1079,28.5,62.2,Clay,6.6,98,51,46,216,4,19.32
2025,Muzaffarpur,23,786,24.9,73.0,Sandy,6.8,88,48,33,164,3,15.8
2023,Gaya,98,754,27.0,75.3,Sandy,7.1,107,46,43,181,1,19.3
2025,Gaya,25,987,24.1,78.5,Clay,6.9,99,46,39,217,2,17.38
2022,Bhojpur,70,877,30.5,68.8,Loamy,5.9,86,45,32,167,3,16.23
