District,Year,Soil_pH,Organic_Carbon(%),Nitrogen(kg/ha),Phosphorus(kg/ha),Potassium(kg/ha),Yield_t_per_ha,crop,avg_temp,avg_humidity,total_rainfall,Rice_Variety,Humidity(%),Irrigation_Type,Fertilizer_Use(kg/ha),Pesticide_Use(kg/ha),Sowing_Date,Harvest_Date,Yield(kg/ha)
Aurangabad,2019,6.73,0.558,231.1,10.15,196.7,4.147,rice,28.33,76.79,1237.7,Swarna Sub1,63.8,Borewell,155,3.94,17-06-2019,12-10-2019,2977
Aurangabad,2020,6.71,0.559,249.8,8.28,186.8,4.065,rice,27.47,80.86,1216.2,Swarna Sub1,61.7,Borewell,192,1.61,29-06-2020,25-10-2020,3255
Banka,2000,6.6,0.449,231.7,10.29,209,4.285,rice,26.96,78.52,846.3,Sharbati,64.4,Borewell,218,1.59,26-06-2000,30-10-2000,2974
Banka,2001,6.62,0.447,221.6,9.49,203,4.21,rice,26.83,82.17,940.9,Sharbati,86.2,Canal,172,4.96,28-06-2001,29-10-2001,3117
Banka,2002,6.63,0.451,206.8,9.52,206.5,4.245,rice,26.7,81.39,949,MTU-1010,74.2,Canal,205,1.95,29-06-2002,02-11-2002,2828
Banka,2003,6.65,0.408,202.8,9.18,189.7,4.031,rice,26.86,81.4,1113.4,Swarna,61.8,Canal,139,4.07,28-06-2003,19-10-2003,3192
Banka,2004,6.61,0.424,217.3,9.56,196.4,4.236,rice,26.58,80.31,1119.9,Swarna Sub1,79.9,Borewell,190,1.83,26-06-2004,20-10-2004,3039
Banka,2005,6.68,0.411,200,10.16,200.2,4.334,rice,27.36,78.33,896.9,Swarna,78.8,Borewell,207,1.06,27-06-2005,16-10-2005,2905
Banka,2006,6.66,0.423,197.9,9.65,199.2,4.012,rice,27.2,80.22,892.7,Sharbati,76.3,Borewell,153,3.08,29-06-2006,24-10-2006,2682
Banka,2007,6.62,0.418,202.4,8.79,198.9,4.42,rice,27.17,81.18,1507.4,Swarna,72.1,Canal,209,2.67,22-06-2007,19-10-2007,3245
Banka,2008,6.61,0.391,196.7,10.73,200.1,4.308,rice,26.87,80.87,1126.3,Swarna Sub1,63.8,Canal,162,3.12,26-06-2008,17-10-2008,3276
Banka,2009,6.66,0.39,206.6,9.56,200.7,4.147,rice,27.51,77.53,1073.5,MTU-1010,62.5,Rainfed,178,3.48,16-06-2009,16-10-2009,2913
Banka,2010,6.71,0.398,208.2,10.1,186.6,3.797,rice,27.85,79.77,938.1,Swarna Sub1,88.7,Canal,183,1.39,29-06-2010,01-11-2010,2927
Banka,2011,6.74,0.415,195.4,8.05,198.5,4.391,rice,26.97,81.15,1097.8,Sona Masuri,78.8,Canal,181,3.68,18-06-2011,14-10-2011,3123
Banka,2012,6.77,0.415,202.2,8.9,199.6,4.194,rice,27.26,77.22,863.5,Sharbati,89.2,Canal,186,4.36,24-06-2012,16-10-2012,2931
Banka,2013,6.69,0.437,221.1,10.6,195.5,4.476,rice,26.66,81.48,844.6,Swarna,67.3,Canal,152,1.65,26-06-2013,16-10-2013,2996
Banka,2014,6.75,0.428,218.4,10.27,207.1,4.434,rice,27.04,80.29,941.7,Sharbati,85.9,Canal,177,2.01,27-06-2014,30-10-2014,3021
Banka,2015,6.74,0.413,210.7,9.39,196.5,4.588,rice,27.58,78.19,1172.4,Sharbati,79.2,Rainfed,188,4.41,22-06-2015,16-10-2015,3169
Banka,2016,6.79,0.452,213.7,10.99,205.8,4.416,rice,27.37,80.03,1073.1,Sona Masuri,88,Canal,194,1.22,30-06-2016,05-11-2016,3007
Banka,2017,6.71,0.449,213.8,8.95,207,4.357,rice,27.44,81.6,1362.4,MTU-1010,69.5,Borewell,146,3.75,25-06-2017,22-10-2017,3050
Banka,2018,6.8,0.461,215,10.26,209.2,4.379,rice,27.61,78.09,1058.2,MTU-1010,89.3,Canal,176,4.44,29-06-2018,22-10-2018,3235
Banka,2019,6.72,0.457,210.5,9.14,213.5,4.477,rice,28.06,79.83,1277.4,Swarna Sub1,78.6,Borewell,153,4.45,22-06-2019,27-10-2019,3127
Banka,2020,6.7,0.465,226.1,11.06,218.2,4.464,rice,27.6,82.12,1421.7,MTU-1010,66.3,Canal,224,2.25,27-06-2020,30-10-2020,3417
Begusarai,2000,7.06,0.565,326.9,17,223.8,4.648,rice,27.5,77.62,1455.5,Swarna Sub1,81.6,Canal,212,2.93,25-06-2000,13-10-2000,3528
Begusarai,2001,7.1,0.575,316,16.71,210.9,4.957,rice,27.4,80.98,1049.7,Swarna,75.8,Canal,151,3.06,24-06-2001,14-10-2001,3029
Begusarai,2002,7.06,0.569,338,16.66,225.8,5.156,rice,27.29,79.92,888.7,Swarna Sub1,66.7,Borewell,226,3.24,17-06-2002,07-10-2002,3248
Begusarai,2003,7.1,0.549,322.8,17.13,232.3,5.239,rice,27.37,79.93,1269.8,Sona Masuri,78.7,Canal,168,1.62,28-06-2003,04-11-2003,3396
Begusarai,2004,7.01,0.554,317.2,16.36,217.6,5.112,rice,27.1,79.19,1224.4,IR64,67.3,Canal,217,1.42,28-06-2004,19-10-2004,3453
Begusarai,2005,7.02,0.54,321.1,17.01,199.5,5.2,rice,27.86,76.72,820,Sona Masuri,76.6,Borewell,96,4.4,23-06-2005,17-10-2005,3037
Begusarai,2006,6.97,0.52,316.3,16.65,205.9,5.199,rice,27.71,79.09,1071.1,Sharbati,87.1,Rainfed,165,1.59,26-06-2006,17-10-2006,3250
Begusarai,2007,6.94,0.526,310.5,16.46,210.6,4.875,rice,27.66,79.8,1524.1,Swarna Sub1,70.2,Canal,165,3.5,17-06-2007,25-10-2007,3656
Begusarai,2008,6.99,0.525,298.4,14.85,207.8,4.987,rice,27.51,80.09,1212.3,IR64,82.1,Canal,171,2.62,26-06-2008,27-10-2008,3313
Begusarai,2009,6.95,0.52,313.7,17.09,200.1,4.836,rice,28.02,76.39,1140.4,Swarna Sub1,70.3,Canal,180,4.94,22-06-2009,17-10-2009,3313
Begusarai,2010,6.91,0.518,320.2,15.9,190.7,4.743,rice,28.5,77.64,983.2,Sharbati,64.8,Borewell,198,1.37,29-06-2010,19-10-2010,3292
Begusarai,2011,6.91,0.516,309.5,16.4,205.5,5.24,rice,27.59,79.59,1204.6,Sharbati,62,Borewell,169,3.16,29-06-2011,26-10-2011,3243
Begusarai,2012,6.9,0.52,319.1,15.27,211.3,5.096,rice,27.84,75.89,946.7,IR64,60.9,Canal,201,1.94,17-06-2012,25-10-2012,3119
Begusarai,2013,6.91,0.552,312.8,18.28,209.3,4.917,rice,27.15,80.67,992.3,Swarna Sub1,60.6,Canal,151,2.21,29-06-2013,31-10-2013,3262
Begusarai,2014,6.9,0.532,314.2,17.08,215.6,5.008,rice,27.48,79.71,1088.4,Sona Masuri,86.9,Borewell,161,1.34,19-06-2014,18-10-2014,3135
Begusarai,2015,6.92,0.561,334.2,17.31,222.1,4.869,rice,28.19,76.98,1075,Sharbati,87.3,Canal,174,4.75,26-06-2015,18-10-2015,3385
Begusarai,2016,6.88,0.548,326.1,16.56,214.6,5.523,rice,27.93,78.98,1214.1,Swarna,86.2,Canal,187,1.08,26-06-2016,01-11-2016,3523
Begusarai,2017,6.88,0.568,325.8,17.21,217.2,5.313,rice,27.81,79.81,1187.6,Sharbati,75.9,Rainfed,157,4.39,26-06-2017,02-11-2017,3292
Begusarai,2018,6.91,0.587,332.6,17.75,211.9,5.267,rice,28.13,76.62,986,MTU-1010,82.6,Canal,133,2.88,28-06-2018,21-10-2018,3119
Begusarai,2019,6.9,0.586,334.3,18.12,223.4,5.515,rice,28.42,78.23,1257,IR64,73.5,Canal,179,1.39,26-06-2019,26-10-2019,3301
Begusarai,2020,6.87,0.581,337.8,15.2,224.4,4.639,rice,27.84,80.57,1552.9,Sharbati,87.8,Borewell,169,3.65,20-06-2020,24-10-2020,3553
Bhagalpur,2000,7.6,0.549,283.2,13.23,216.1,4.53,rice,27.33,78.35,1015.9,MTU-1010,65.9,Borewell,224,2.32,19-06-2000,26-10-2000,3114
Bhagalpur,2001,7.58,0.539,274.9,14.08,225.8,4.557,rice,27.19,81.81,1016.5,IR64,62,Borewell,139,1.04,29-06-2001,18-10-2001,3163
Bhagalpur,2002,7.46,0.553,269.2,13.04,227.6,4.807,rice,26.95,81.35,1000.7,Sharbati,89.1,Borewell,143,4.26,26-06-2002,28-10-2002,3037
Bhagalpur,2003,7.51,0.558,269.4,13.64,225.9,4.544,rice,26.99,81.62,1218.2,Swarna Sub1,77.5,Canal,176,4.77,16-06-2003,19-10-2003,3296
Bhagalpur,2004,7.41,0.548,268.4,12.7,217.7,4.677,rice,26.87,80.62,1182.7,MTU-1010,87.4,Rainfed,137,3.29,24-06-2004,15-10-2004,3213
Bhagalpur,2005,7.36,0.538,272.9,12.92,223.6,4.651,rice,27.58,78.63,939.5,Swarna,80.4,Rainfed,200,3.69,21-06-2005,29-10-2005,3362
Bhagalpur,2006,7.28,0.544,262.2,11.83,211.6,4.43,rice,27.48,80.21,972.6,Sona Masuri,80.8,Rainfed,198,2.34,24-06-2006,31-10-2006,3155
Bhagalpur,2007,7.27,0.522,262.1,13.58,218.8,4.64,rice,27.45,80.95,1532.9,MTU-1010,68.7,Canal,158,1.42,27-06-2007,22-10-2007,3257
Bhagalpur,2008,7.25,0.526,246.5,12.72,202.6,4.582,rice,27.21,81.2,1195.5,MTU-1010,86.7,Canal,131,4.52,23-06-2008,31-10-2008,3141
Bhagalpur,2009,7.2,0.525,271.5,13.11,211.5,4.715,rice,27.6,78.86,1148.8,IR64,67.8,Canal,243,4.25,22-06-2009,29-10-2009,3168
Bhagalpur,2010,7.16,0.509,268.6,12.43,218.2,4.735,rice,28.03,79.93,983.3,Sharbati,82.4,Canal,149,2.69,29-06-2010,02-11-2010,3102
Bhagalpur,2011,7.11,0.526,268.3,13.07,210.5,4.513,rice,27.27,80.78,1211.5,Swarna,81,Rainfed,185,3.61,15-06-2011,15-10-2011,3220
Bhagalpur,2012,7.1,0.529,257.2,13.44,209.4,4.638,rice,27.54,77.77,903.8,Sharbati,78.2,Rainfed,167,1.87,17-06-2012,15-10-2012,3161
Bhagalpur,2013,7.1,0.555,255.9,14.37,219.4,4.812,rice,26.97,81.2,926,Sona Masuri,73.6,Canal,175,3.67,25-06-2013,20-10-2013,3094
Bhagalpur,2014,7.07,0.542,267.8,14.46,217.5,4.949,rice,27.29,80.62,972.5,Swarna,60.2,Rainfed,159,4.46,21-06-2014,10-10-2014,3001
Bhagalpur,2015,7.03,0.544,262.5,13.76,230.6,4.75,rice,27.78,78.86,1243.9,Swarna,77,Canal,201,4.72,15-06-2015,03-10-2015,3257
Bhagalpur,2016,7.02,0.54,271.3,12.22,218.2,4.81,rice,27.63,80.2,1138.6,Swarna Sub1,80.3,Canal,231,4.55,25-06-2016,01-11-2016,3549
Bhagalpur,2017,7.05,0.586,270.6,14.75,226.8,4.841,rice,27.63,82.55,1388.5,Sharbati,78.6,Canal,218,2.16,22-06-2017,28-10-2017,3468
Bhagalpur,2018,7.01,0.566,278.2,13.38,218.7,4.575,rice,27.88,79.56,957.6,IR64,70.6,Borewell,132,4.64,26-06-2018,27-10-2018,3220
Bhagalpur,2019,7,0.57,274.7,13.81,233.5,4.905,rice,28.15,80.82,1379.5,Sharbati,82.4,Borewell,175,2.68,20-06-2019,15-10-2019,3242
Bhagalpur,2020,6.95,0.592,294.2,14.31,236.3,5.181,rice,27.72,82.64,1477.8,Swarna Sub1,86.1,Rainfed,145,3.36,29-06-2020,05-11-2020,3392
Bhojpur,2000,6.37,0.38,201.2,13.87,190.8,3.678,rice,27.41,76.8,917.5,MTU-1010,71.8,Rainfed,162,2.68,29-06-2000,02-11-2000,2849
Bhojpur,2001,6.38,0.375,180.6,14.99,190.3,4.263,rice,27.3,80.11,1054.7,MTU-1010,64.7,Canal,161,1.83,15-06-2001,20-10-2001,2933
Bhojpur,2002,6.44,0.373,184.4,13.82,200.7,3.636,rice,27.46,77.72,1029.2,IR64,88,Rainfed,184,3.63,20-06-2002,28-10-2002,2950
Bhojpur,2003,6.41,0.362,184.3,14.29,192.3,3.951,rice,27.32,78.44,1250,IR64,67.4,Borewell,170,4.42,28-06-2003,03-11-2003,3013
Bhojpur,2004,6.52,0.373,184.8,14.44,190.1,3.978,rice,27.3,76.26,893.6,Sharbati,76.3,Borewell,152,3.54,15-06-2004,10-10-2004,2925
Bhojpur,2005,6.54,0.359,182.4,14.78,172.8,3.795,rice,28.03,73.04,899,Swarna,85.6,Borewell,180,4.85,20-06-2005,10-10-2005,2896
Bhojpur,2006,6.5,0.349,179.4,12.33,180.6,3.857,rice,27.8,77.13,1094.4,Sona Masuri,64.6,Canal,153,1.55,15-06-2006,06-10-2006,2877
Bhojpur,2007,6.63,0.366,177.2,13.17,178.7,3.729,rice,27.8,78.04,1350,MTU-1010,72.3,Canal,175,2.54,20-06-2007,23-10-2007,2892
Bhojpur,2008,6.57,0.333,178.9,12.11,180,4.026,rice,27.51,79.24,1402.3,Swarna Sub1,70.9,Borewell,148,2.14,20-06-2008,20-10-2008,3078
Bhojpur,2009,6.61,0.342,168,14.01,178.8,4.131,rice,28.33,72.39,962.4,Sona Masuri,83.4,Borewell,149,3.19,18-06-2009,14-10-2009,2772
Bhojpur,2010,6.61,0.319,175.1,13.55,186.4,3.96,rice,28.76,75.63,939.7,Swarna,65.7,Rainfed,170,1.67,26-06-2010,16-10-2010,2704
Bhojpur,2011,6.67,0.35,177,13.96,195.7,4.42,rice,27.72,77.61,1170.7,Swarna,66.5,Borewell,225,4.21,15-06-2011,18-10-2011,2983
Bhojpur,2012,6.6,0.338,192.4,12.62,177.7,3.964,rice,28.02,72.9,1163,IR64,67.3,Rainfed,228,1.81,15-06-2012,20-10-2012,2993
Bhojpur,2013,6.66,0.353,176.7,13.03,182.8,3.925,rice,27.23,79.67,1024.6,Swarna Sub1,82.3,Borewell,214,1.06,29-06-2013,26-10-2013,2912
Bhojpur,2014,6.73,0.364,190.4,13.29,187.4,4.011,rice,27.69,77.2,815.3,Sona Masuri,77.8,Canal,146,1.01,27-06-2014,21-10-2014,2906
Bhojpur,2015,6.59,0.354,170.3,11.98,182.8,4.32,rice,28.39,74.09,834.3,IR64,85.5,Canal,168,4.65,20-06-2015,28-10-2015,2859
Bhojpur,2016,6.68,0.388,189.5,14.52,186,4.296,rice,27.98,77.7,1090,Sharbati,70,Rainfed,130,3.35,18-06-2016,10-10-2016,2875
Bhojpur,2017,6.71,0.376,192.1,14.45,189.6,3.995,rice,28,77.97,1203.5,Sharbati,86.8,Rainfed,214,1.14,20-06-2017,27-10-2017,3170
Bhojpur,2018,6.66,0.39,191.7,13.47,194.5,4.326,rice,28.43,72.96,1159.5,Swarna,76.3,Canal,166,2.49,17-06-2018,11-10-2018,3115
Bhojpur,2019,6.73,0.411,200.7,13.41,205.9,4.197,rice,28.5,76.38,1239.7,IR64,62.9,Canal,130,2.39,21-06-2019,20-10-2019,2942
Bhojpur,2020,6.75,0.403,188.6,12.87,196.3,3.99,rice,27.67,80.14,1393.2,MTU-1010,61.4,Canal,177,2.57,30-06-2020,20-10-2020,3056
Buxar,2000,6.15,0.494,188.6,13.99,175.7,3.754,rice,27.36,76.16,912.9,Sona Masuri,71.8,Borewell,147,1.39,28-06-2000,30-10-2000,2797
Buxar,2001,6.25,0.467,176.3,13.27,173,3.833,rice,27.28,79.39,1147.8,Sharbati,75.5,Rainfed,198,4.75,29-06-2001,06-11-2001,3254
Buxar,2002,6.22,0.483,207.5,13.23,172.8,3.759,rice,27.55,76.38,943.6,IR64,72,Rainfed,205,2.17,28-06-2002,19-10-2002,2930
Buxar,2003,6.29,0.457,192.5,13.18,161.4,3.688,rice,27.3,77.55,1323.2,Swarna Sub1,71.3,Canal,216,1.21,27-06-2003,31-10-2003,3272
Buxar,2004,6.3,0.464,189.9,10.78,173.7,3.953,rice,27.32,75.5,841.4,IR64,65,Canal,189,4.05,20-06-2004,20-10-2004,2786
Buxar,2005,6.37,0.444,180.6,13.37,152.5,3.741,rice,28.04,71.89,900.4,IR64,63.1,Canal,184,4.94,18-06-2005,07-10-2005,2930
Buxar,2006,6.37,0.471,182.2,12.64,171.7,4.191,rice,27.72,76.34,1123.2,Sona Masuri,89.5,Canal,199,4.72,30-06-2006,03-11-2006,3107
Buxar,2007,6.43,0.462,174.7,13.2,162.9,3.757,rice,27.8,77.14,1252.7,IR64,68.6,Canal,247,1.12,19-06-2007,11-10-2007,3066
Buxar,2008,6.46,0.438,187.5,12.96,168.3,3.556,rice,27.46,78.14,1301.5,Swarna Sub1,81.7,Borewell,171,1,23-06-2008,26-10-2008,3074
Buxar,2009,6.49,0.456,169.7,11.27,171,3.902,rice,28.29,71.49,976.7,Swarna,60.5,Borewell,220,3.02,26-06-2009,30-10-2009,2862
Buxar,2010,6.53,0.462,187.5,12.59,181.1,3.868,rice,28.77,74.58,938,Swarna,69.6,Borewell,194,4.86,27-06-2010,15-10-2010,2989
Buxar,2011,6.51,0.455,188.7,11.74,159.9,4.306,rice,27.68,76.92,1212.7,IR64,65,Borewell,197,3.63,16-06-2011,19-10-2011,3065
